monthly_income,monthly_expense,age,has_smartphone,has_wallet,avg_wallet_balance,on_time_payment_ratio,num_loans_taken,target
45000,22000,41,1,1,300,0.92,6,1
38000,19000,39,1,1,500,0.88,5,1
52000,26000,45,1,1,700,0.9,7,1
30000,15000,34,1,1,200,0.85,5,1
42000,21000,43,1,1,400,0.93,6,1
9000,7000,22,0,0,0,0.95,1,0
11000,8000,24,1,0,0,0.92,1,0
10000,6500,23,0,0,0,0.97,1,0
12000,8500,25,1,0,0,0.94,2,0
13000,9000,26,1,0,0,0.91,2,0
25000,26000,35,1,1,1500,0.72,5,0
28000,29000,38,1,1,1200,0.75,6,0
32000,34000,40,1,1,1000,0.7,7,0
35000,36000,42,1,1,900,0.68,6,0
29000,31000,37,1,1,800,0.73,5,0
18000,12000,29,1,1,200,0.55,3,1
20000,13000,31,1,1,300,0.58,3,1
22000,14000,33,1,1,400,0.6,4,1
24000,15000,34,1,1,350,0.57,4,1
26000,16000,36,1,1,450,0.59,4,1
16000,14000,28,1,1,7000,0.4,2,0
17000,15000,30,1,1,6500,0.42,2,0
19000,16000,32,1,1,7200,0.38,3,0
21000,17000,34,1,1,6800,0.45,3,0
23000,18000,36,1,1,7500,0.41,3,0
60000,30000,48,1,1,100,0.97,8,1
55000,28000,46,1,1,150,0.95,7,1
58000,29000,47,1,1,120,0.96,8,1
62000,31000,49,1,1,90,0.94,9,1
65000,33000,50,1,1,80,0.93,9,1
14000,16000,27,1,1,500,0.82,2,1
15000,17000,28,1,1,450,0.8,2,1
16000,18000,29,1,1,400,0.78,3,1
17000,19000,30,1,1,350,0.76,3,1
18000,20000,31,1,1,300,0.74,4,1
8000,6000,21,0,0,0,0.98,1,0
9000,6500,22,0,0,0,0.96,1,0
10000,7000,23,0,0,0,0.95,1,0
11000,7500,24,1,0,0,0.94,1,0
12000,8000,25,1,0,0,0.93,1,0
23000,16500,35,1,1,1800,0.78,4,0
18000,19000,31,1,1,650,0.69,4,1
15000,12500,27,1,1,2100,0.82,2,0
20000,17500,33,1,1,1200,0.74,3,0
17000,18500,30,1,1,500,0.66,4,1
26000,19500,41,1,1,3600,0.85,4,0
22000,23000,37,1,1,900,0.71,5,1
14000,11800,26,1,0,0,0.8,1,0
15500,16000,28,1,1,450,0.67,3,1
19500,15000,34,1,1,2400,0.88,3,0
16500,14500,29,1,1,1900,0.81,2,0
12000,14000,24,1,0,0,0.58,2,1
27500,21000,42,1,1,4200,0.87,4,0
21000,22500,36,1,1,850,0.7,5,1
18500,16000,32,1,1,2600,0.83,3,0
16000,17500,29,1,1,600,0.64,3,1
24000,18500,38,1,1,3100,0.86,4,0
20000,21500,35,1,1,750,0.72,4,1
13500,11500,25,1,0,0,0.78,1,0
15000,16500,27,1,1,500,0.6,3,1
28000,22000,43,1,1,4800,0.89,5,0
22500,24000,39,1,1,900,0.73,5,1
17500,15000,31,1,1,2200,0.82,2,0
13000,14500,24,1,0,0,0.55,2,1
26000,20500,41,1,1,3700,0.88,4,0
21500,23000,36,1,1,800,0.71,5,1
19000,16500,33,1,1,2500,0.84,3,0
16500,18000,30,1,1,650,0.65,3,1
14500,12500,26,1,1,1800,0.8,2,0
12000,13500,23,1,0,0,0.56,2,1
30000,24000,45,1,1,5200,0.9,5,0
24500,26000,40,1,1,1100,0.74,6,1
18000,15500,32,1,1,2300,0.83,3,0
15500,17000,28,1,1,500,0.63,3,1
26500,21500,42,1,1,3900,0.87,4,0
22000,23500,37,1,1,900,0.72,5,1
17000,14500,30,1,1,2100,0.81,2,0
14000,15500,25,1,0,0,0.54,2,1
29000,22500,44,1,1,5100,0.91,5,0
23000,25000,39,1,1,1000,0.73,6,1
18500,16000,33,1,1,2600,0.84,3,0
16000,17500,29,1,1,600,0.64,3,1
13500,11800,26,1,0,0,0.79,1,0
15000,16500,27,1,1,450,0.61,3,1
27000,21500,43,1,1,4300,0.88,4,0
21500,23000,36,1,1,850,0.71,5,1
19500,17000,34,1,1,2400,0.85,3,0
16500,18000,30,1,1,650,0.66,3,1
14000,12500,26,1,1,1900,0.81,2,0
12000,13800,23,1,0,0,0.57,2,1
18500,16000,33,1,1,2400,0.84,3,0
17000,18500,31,1,1,650,0.66,4,1
14500,12000,26,1,1,1800,0.81,2,0
16000,17500,29,1,1,600,0.64,3,1
22500,17000,36,1,1,3200,0.87,4,0
20000,21500,34,1,1,900,0.72,4,1
13500,11500,25,1,0,0,0.79,1,0
15500,16500,28,1,1,500,0.61,3,1
19500,15000,33,1,1,2600,0.88,3,0
12000,13800,24,1,0,0,0.57,2,1
26000,20000,41,1,1,3900,0.88,4,0
21000,22500,37,1,1,850,0.71,5,1
17500,15000,31,1,1,2200,0.82,2,0
15000,16500,27,1,1,450,0.6,3,1
28000,22000,43,1,1,4800,0.89,5,0
23000,24500,39,1,1,1000,0.73,6,1
16500,14500,30,1,1,1900,0.8,2,0
14000,15500,25,1,0,0,0.54,2,1
30000,24000,45,1,1,5200,0.9,5,0
24500,26000,40,1,1,1100,0.74,6,1
18000,15500,32,1,1,2300,0.83,3,0
15500,17000,28,1,1,500,0.63,3,1
26500,21500,42,1,1,3900,0.87,4,0
22000,23500,37,1,1,900,0.72,5,1
17000,14500,30,1,1,2100,0.81,2,0
14000,16000,26,1,0,0,0.52,2,1
29000,22500,44,1,1,5100,0.91,5,0
23000,25000,39,1,1,1000,0.73,6,1
18500,16000,33,1,1,2600,0.84,3,0
16000,17500,29,1,1,600,0.64,3,1
13500,11800,26,1,0,0,0.79,1,0
15000,16500,27,1,1,450,0.61,3,1
27000,21500,43,1,1,4300,0.88,4,0
21500,23000,36,1,1,850,0.71,5,1
19500,17000,34,1,1,2400,0.85,3,0
16500,18000,30,1,1,650,0.66,3,1
14000,12500,26,1,1,1900,0.81,2,0
12000,13800,23,1,0,0,0.57,2,1
18500,15500,32,1,1,2200,0.83,3,0
17000,18200,31,1,1,700,0.67,4,1
15000,12800,27,1,1,1700,0.8,2,0
16000,17500,29,1,1,600,0.64,3,1
23500,18000,38,1,1,3400,0.86,4,0
20500,22000,35,1,1,850,0.71,4,1
14000,12000,25,1,0,0,0.78,1,0
15500,16800,28,1,1,500,0.62,3,1
28500,22000,44,1,1,4700,0.9,5,0
22500,24000,39,1,1,950,0.73,5,1
17500,15000,31,1,1,2200,0.82,2,0
13000,14800,24,1,0,0,0.55,2,1
26000,20500,41,1,1,3700,0.88,4,0
21000,23000,36,1,1,800,0.7,5,1
19000,16500,33,1,1,2500,0.84,3,0
16500,18000,30,1,1,650,0.66,3,1
14500,12500,26,1,1,1800,0.8,2,0
12000,13800,23,1,0,0,0.56,2,1
