isJointApplication,loanAmount,interestRate,monthlyPayment,loanStatus,yearsEmployment,annualIncome,incomeVerified,dtiRatio,lengthCreditHistory,numTotalCreditLines,numOpenCreditLines,numOpenCreditLines1Year,revolvingBalance,revolvingUtilizationRate,numDerogatoryRec,numDelinquency2Years,numChargeoff1year,numInquiries6Mon,term_months,grade_score,loan_to_income_ratio,payment_to_income_ratio,repayment_velocity,loan_amortization_rate,open_credit_ratio,recent_credit_velocity,inquiry_intensity,delinquency_density,derogatory_density,estimated_credit_limit,credit_utilization_recomputed,log_loanAmount,log_annualIncome,log_revolvingBalance,purpose_business,purpose_debtconsolidation,purpose_education,purpose_healthcare,purpose_homeimprovement,purpose_other,homeOwnership_own,homeOwnership_rent,default_probability,predicted_default,risk_band,loan_amount,expected_loss,priority_level,assigned_team,recovery_channel,follow_up_frequency,legal_action,recommended_action,escalation_notes,risk_flags
0.0,33245.0,15.25,986.5,1,4.144218947230374,53563.0,1.0,21.19,1.0,19.0,17.0,10.0,17575.0,72.34,0.0,1.0,1.0,0.0,36.0,5.2,0.6174275070449307,0.01824863100357,0.0347958029009361,800.0755427558705,0.85,0.5555555555555556,0.0,0.0694444444444444,0.0,24294.660012994016,0.7233802247232792,10.538931446134496,10.888632479615456,9.774289614064449,0,1,0,0,0,0,0,1,0.958996,True,Very High,33245.0,31881.81,Low,Automated System,Email + SMS Reminder,Once in 15 days,False,Send automated reminder,Monitor for 30 days; escalate if no response.,High debt-to-income ratio (21.19 ≥ 0.4) | High revolving utilisation (7234.0%) | Charge-offs in past year (1)
0.0,32799.0,12.71,986.5,1,0.5,50765.0,1.0,20.22,5.0,24.0,15.0,15.0,12533.0,49.72,0.0,0.0,0.0,2.5,36.0,5.3,0.6174275070449307,0.01824863100357,0.0335670731707317,800.0755427558705,0.6,0.9375,0.4545454545454545,0.0,0.0,25206.653124434342,0.4971902754347044,10.398183794372237,10.834982118152556,9.43620023078462,0,1,0,0,0,0,1,0,0.965782,True,Very High,32799.0,31676.69,Low,Automated System,Email + SMS Reminder,Once in 15 days,False,Send automated reminder,Monitor for 30 days; escalate if no response.,High debt-to-income ratio (20.22 ≥ 0.4) | High revolving utilisation (4972.0%)
0.0,30737.0,19.31,803.0,1,4.144218947230374,54045.0,1.0,20.11,6.0,20.0,13.0,8.0,13736.0,95.57,0.0,0.0,0.0,2.0,60.0,4.3,0.5687192391666358,0.0148577137993561,0.0261240158761142,503.88524590163934,0.6190476190476191,0.5714285714285714,0.2857142857142857,0.0,0.0,14372.560714024132,0.9556435091687426,10.333254953167256,10.897590814778392,9.527848201325206,0,1,0,0,0,0,0,0,0.986728,True,Very High,30737.0,30329.05,Low,Automated System,Email + SMS Reminder,Once in 15 days,False,Send automated reminder,Monitor for 30 days; escalate if no response.,High debt-to-income ratio (20.11 ≥ 0.4) | High interest rate (19.3% ≥ 18.0%) | High revolving utilisation (9557.0%)
0.0,33245.0,14.31,986.5,1,4.144218947230374,50656.0,0.0,10.33,31.5,18.0,18.0,16.0,14294.0,58.44,0.0,2.5,2.5,1.0,48.0,4.3,0.6174275070449307,0.01824863100357,0.0274870699074861,800.0755427558705,0.9473684210526316,0.8421052631578947,0.0263157894736842,0.0694444444444444,0.0,24458.855940178983,0.5843861073817674,10.538931446134496,10.832832703483993,9.567665104756411,0,1,0,0,0,0,0,0,0.911382,True,Very High,33245.0,30298.9,Low,Automated System,Email + SMS Reminder,Once in 15 days,False,Send automated reminder,Monitor for 30 days; escalate if no response.,High debt-to-income ratio (10.33 ≥ 0.4) | Recent delinquencies (2 in last 2 years) | High revolving utilisation (5844.0%) | Charge-offs in past year (2)
0.0,30239.0,15.73,853.0,0,10.0,52321.0,0.0,15.07,2.0,11.0,7.0,5.0,11312.0,83.92,0.0,0.0,0.0,2.0,48.0,5.1,0.577940445701617,0.0163028936202744,0.0282076719576719,617.1224489795918,0.5833333333333334,0.625,0.4545454545454545,0.0,0.0,13479.34366845009,0.8391477456524373,10.31692083029347,10.865172211700168,9.333707785926467,0,1,0,0,0,0,0,0,0.968345,True,Very High,30239.0,29281.77,Low,Automated System,Email + SMS Reminder,Once in 15 days,False,Send automated reminder,Monitor for 30 days; escalate if no response.,High debt-to-income ratio (15.07 ≥ 0.4) | High revolving utilisation (8392.0%)
0.0,31093.0,14.58,859.0,0,10.0,50542.0,1.0,22.53,2.0,20.0,20.0,17.5,13555.0,57.91,0.0,2.5,2.5,1.0,48.0,4.3,0.6151791543833963,0.0169954296341728,0.0276259085354087,634.5510204081633,0.9523809523809524,0.9047619047619048,0.3333333333333333,0.0694444444444444,0.0,23406.606689575387,0.5790852597517686,10.344770153509684,10.83057973810414,9.514584532726944,0,1,0,0,0,0,0,0,0.927347,True,Very High,31093.0,28834.01,Low,Automated System,Email + SMS Reminder,Once in 15 days,False,Send automated reminder,Monitor for 30 days; escalate if no response.,High debt-to-income ratio (22.53 ≥ 0.4) | Recent delinquencies (2 in last 2 years) | High revolving utilisation (5791.0%) | Charge-offs in past year (2)
0.0,30124.0,17.71,880.0,0,4.144218947230374,46321.0,1.0,14.62,6.0,11.0,6.0,6.0,13122.0,73.95,0.0,0.0,0.0,2.5,48.0,2.3,0.6174275070449307,0.01824863100357,0.0292116182572614,614.7755102040817,0.5,0.8571428571428571,0.4285714285714285,0.0,0.0,17744.181958323756,0.7394683261528826,10.313110670792955,10.755800579544836,9.482121694896287,0,1,0,0,0,0,0,0,0.951131,True,Very High,30124.0,28651.86,Low,Automated System,Email + SMS Reminder,Once in 15 days,False,Send automated reminder,Monitor for 30 days; escalate if no response.,High debt-to-income ratio (14.62 ≥ 0.4) | High revolving utilisation (7395.0%)
0.0,29834.0,15.84,986.5,1,0.5,50078.0,1.0,15.87,11.0,14.0,10.0,9.0,14681.0,80.82,0.0,0.0,0.0,0.0,36.0,3.2,0.5957387328021726,0.01824863100357,0.0350930115635998,800.0755427558705,0.6666666666666666,0.8181818181818182,0.0,0.0,0.0,18164.833397260616,0.8081655093354471,10.303437479956182,10.821357037523498,9.594377532670729,1,0,0,0,0,0,0,0,0.939862,True,Very High,29834.0,28039.83,Low,Automated System,Email + SMS Reminder,Once in 15 days,False,Send automated reminder,Monitor for 30 days; escalate if no response.,High debt-to-income ratio (15.87 ≥ 0.4) | High revolving utilisation (8082.0%)
0.0,29196.0,21.629999999999995,986.5,1,10.0,55538.0,0.0,12.55,6.0,20.0,15.0,10.0,11780.0,56.52,0.0,0.0,0.0,0.0,48.0,2.3,0.5256846540269,0.0180413763301463,0.0343185943761345,595.8367346938776,0.7142857142857143,0.625,0.0,0.0,0.0,20841.8110082978,0.5651828822566315,10.281821243252258,10.924840755657286,9.37424334324612,0,1,0,0,0,0,0,1,0.957199,True,Very High,29196.0,27946.37,Low,Automated System,Email + SMS Reminder,Once in 15 days,False,Send automated reminder,Monitor for 30 days; escalate if no response.,High debt-to-income ratio (12.55 ≥ 0.4) | High interest rate (21.6% ≥ 18.0%) | High revolving utilisation (5652.0%)
0.0,27962.0,21.629999999999995,986.5,1,4.144218947230374,52863.0,1.0,16.07,1.0,17.0,14.0,8.0,14176.0,85.96,0.0,0.0,0.0,1.0,36.0,3.3,0.528942191283293,0.01824863100357,0.0380145191860673,755.7297297297297,0.7777777777777778,0.5333333333333333,0.4545454545454545,0.0,0.0,16491.19949744652,0.8595578777830613,10.238637486729267,10.87547785688065,9.559376212117632,0,1,0,0,0,0,0,1,0.998578,True,Very High,27962.0,27922.23,Low,Automated System,Email + SMS Reminder,Once in 15 days,False,Send automated reminder,Monitor for 30 days; escalate if no response.,High debt-to-income ratio (16.07 ≥ 0.4) | High interest rate (21.6% ≥ 18.0%) | High revolving utilisation (8596.0%)
